                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5041,                 4.1217,                 2.7019,                0.57209,                0.72303,                0.51625,                0.26955,                 1.3339,                 93.619,                 1.1863,              0.0005533,              0.0005533,              0.0005533
                      2,                 1.4791,                 1.2561,                 1.3106,                0.70466,                0.86731,                 0.8429,                0.52724,                0.95914,                 91.071,                0.90112,               0.001048,               0.001048,               0.001048
                      3,                 1.2787,                 0.9507,                 1.1871,                0.72064,                0.92077,                 0.8097,                0.54989,                0.77707,                 128.45,                0.82247,              0.0014815,              0.0014815,              0.0014815
                      4,                 1.1864,                0.78548,                 1.1424,                0.70334,                0.94779,                0.74221,                0.48436,                0.79586,                 124.86,                0.82015,              0.0013919,              0.0013919,              0.0013919
                      5,                 1.1166,                0.67751,                 1.1099,                0.70233,                0.93742,                0.86292,                0.61214,                0.74557,                 125.11,                0.79843,              0.0013919,              0.0013919,              0.0013919
                      6,                 1.0837,                0.63216,                  1.093,                0.69969,                0.93903,                0.79718,                0.57477,                0.69647,                 112.46,                0.78434,              0.0013003,              0.0013003,              0.0013003
                      7,                 1.0466,                0.59517,                 1.0723,                 0.7118,                0.92696,                0.88328,                  0.632,                0.80011,                 56.702,                0.83621,              0.0012086,              0.0012086,              0.0012086
                      8,                 1.0046,                0.56345,                 1.0588,                0.71614,                0.94709,                0.87559,                0.67199,                0.60393,                 114.72,                 0.7377,              0.0011169,              0.0011169,              0.0011169
                      9,                0.90466,                0.51841,                 1.0774,                0.71642,                0.95738,                0.78407,                0.58011,                0.59077,                 105.55,                0.73243,              0.0010252,              0.0010252,              0.0010252
                     10,                0.86107,                0.48105,                 1.0554,                0.70323,                0.94104,                0.80457,                0.58348,                0.68438,                 60.613,                0.79805,             0.00093352,             0.00093352,             0.00093352
                     11,                0.83482,                0.46358,                 1.0476,                0.72032,                 0.9562,                 0.8209,                0.63627,                0.59321,                 116.12,                0.72291,             0.00084184,             0.00084184,             0.00084184
                     12,                 0.8195,                0.44644,                  1.038,                0.69876,                0.94265,                 0.7512,                0.57583,                0.58396,                 150.71,                 0.7308,             0.00075015,             0.00075015,             0.00075015
                     13,                0.79072,                0.42962,                 1.0301,                0.71646,                0.94872,                0.79334,                 0.6038,                0.55363,                 118.35,                0.73168,             0.00065847,             0.00065847,             0.00065847
                     14,                0.75849,                0.41366,                 1.0159,                0.71637,                0.95565,                0.75876,                0.59728,                 0.5204,                 107.68,                0.71224,             0.00056678,             0.00056678,             0.00056678
                     15,                0.73578,                0.39697,                 1.0074,                0.71871,                0.95914,                0.78291,                0.63123,                0.49098,                  135.6,                0.69661,              0.0004751,              0.0004751,              0.0004751
                     16,                0.71817,                0.38648,                0.99487,                0.70938,                0.95729,                0.81312,                 0.6588,                0.49724,                 143.94,                0.69324,             0.00038341,             0.00038341,             0.00038341
                     17,                0.70189,                0.37681,                0.99108,                0.70937,                 0.9702,                0.78574,                0.64212,                0.46617,                 141.54,                0.68224,             0.00029172,             0.00029172,             0.00029172
                     18,                 0.6748,                0.36502,                 0.9835,                0.71097,                0.96575,                0.84426,                0.69257,                0.47011,                 147.13,                0.68632,             0.00020004,             0.00020004,             0.00020004
